,path,label
0,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_100.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1000.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1001.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1002.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1003.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1004.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1005.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1006.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1007.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1008.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1009.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_101.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1010.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1011.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1012.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1013.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1014.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,D:\src\YOLO_v3_tutorial_from_scratch\data\feb12\images\train\id_1015.png,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
